outer_location,AssertCount,DebugCount
AOR_v20.02,38,0
COFF,20,248
Common,1,3
ELF,31,23
MachO,57,5
benchmark,21,0
benchmarks,1,98
bindings,31,32
clang-change-namespace,12,0
clang-doc,6,0
clang-include-fixer,9,2
clang-move,7,2
clang-reorder-fields,1,0
clang-tidy,94,7
clangd,205,3417
debuginfo-tests,44,291
docs,0,1
examples,45,67
lib,15702,16384
libompd,0,2
libomptarget,54,35
lit.cfg.py,0,2
modularize,2,0
packages,15,28
pp-trace,0,4
pseudo,26,74
python,14,1
runtime,27,747
scripts,0,1
source,429,2533
src,11,1
test,81143,73737
third_party,13,14
tool-template,1,0
tools,313,1325
unittests,207,51944
utils,515,102
wasm,22,10
